ASIS	opening a note pushes a /notes/:id URL	2086
ASIS	opening a note pushes a /notes/:id URL	2130
ASIS	Back returns to the home screen	1631
ASIS	Back returns to the home screen	2141
ASIS	Forward reopens the note	1546
ASIS	deep-linking /notes/:id loads the note directly	112
ASIS	Forward reopens the note	1532
ASIS	deep-linking /notes/:id loads the note directly	125
ASIS	in-app Back from a cold deep-link falls back to home	741
ASIS	in-app Back from a cold deep-link falls back to home	641
ASIS	creating a note navigates to it and Back does not recreate it	734
ASIS	creating a note navigates to it and Back does not recreate it	1041
ASIS	opening a note pushes a /notes/:id URL	1293
ASIS	Back returns to the home screen	2190
ASIS	Forward reopens the note	1116
ASIS	deep-linking /notes/:id loads the note directly	217
ASIS	in-app Back from a cold deep-link falls back to home	670
ASIS	creating a note navigates to it and Back does not recreate it	389
ASIS	opening a note pushes a /notes/:id URL	1348
ASIS	opening a note pushes a /notes/:id URL	1166
ASIS	Back returns to the home screen	1895
ASIS	Back returns to the home screen	1890
ASIS	Forward reopens the note	1270
ASIS	deep-linking /notes/:id loads the note directly	284
ASIS	Forward reopens the note	1402
ASIS	in-app Back from a cold deep-link falls back to home	917
ASIS	deep-linking /notes/:id loads the note directly	400
ASIS	creating a note navigates to it and Back does not recreate it	468
ASIS	in-app Back from a cold deep-link falls back to home	713
ASIS	creating a note navigates to it and Back does not recreate it	418
ASIS	opening a note pushes a /notes/:id URL	1148
REORDERED	opening a note pushes a /notes/:id URL	1220
ASIS	Back returns to the home screen	1544
ASIS	Forward reopens the note	1045
REORDERED	Back returns to the home screen	1761
ASIS	deep-linking /notes/:id loads the note directly	131
ASIS	in-app Back from a cold deep-link falls back to home	509
ASIS	creating a note navigates to it and Back does not recreate it	553
REORDERED	Forward reopens the note	1241
REORDERED	deep-linking /notes/:id loads the note directly	98
REORDERED	in-app Back from a cold deep-link falls back to home	575
REORDERED	creating a note navigates to it and Back does not recreate it	955
REORDERED	opening a note pushes a /notes/:id URL	1013
REORDERED	Back returns to the home screen	2499
REORDERED	opening a note pushes a /notes/:id URL	1336
REORDERED	Forward reopens the note	1254
REORDERED	deep-linking /notes/:id loads the note directly	117
REORDERED	in-app Back from a cold deep-link falls back to home	576
REORDERED	creating a note navigates to it and Back does not recreate it	992
REORDERED	Back returns to the home screen	1831
REORDERED	Forward reopens the note	1175
REORDERED	deep-linking /notes/:id loads the note directly	138
REORDERED	in-app Back from a cold deep-link falls back to home	560
REORDERED	creating a note navigates to it and Back does not recreate it	892
REORDERED	opening a note pushes a /notes/:id URL	1001
REORDERED	Back returns to the home screen	2029
REORDERED	Forward reopens the note	1007
REORDERED	deep-linking /notes/:id loads the note directly	199
REORDERED	in-app Back from a cold deep-link falls back to home	462
ASIS	opening a note pushes a /notes/:id URL	1083
REORDERED	creating a note navigates to it and Back does not recreate it	1101
ASIS	Back returns to the home screen	1952
ASIS	Forward reopens the note	751
ASIS	deep-linking /notes/:id loads the note directly	77
ASIS	in-app Back from a cold deep-link falls back to home	409
ASIS	creating a note navigates to it and Back does not recreate it	417
REORDERED	opening a note pushes a /notes/:id URL	923
REORDERED	Back returns to the home screen	1932
REORDERED	Forward reopens the note	1043
ASIS	opening a note pushes a /notes/:id URL	1267
REORDERED	deep-linking /notes/:id loads the note directly	157
REORDERED	in-app Back from a cold deep-link falls back to home	663
REORDERED	creating a note navigates to it and Back does not recreate it	803
ASIS	Back returns to the home screen	1619
ASIS	Forward reopens the note	1007
ASIS	deep-linking /notes/:id loads the note directly	155
ASIS	in-app Back from a cold deep-link falls back to home	733
ASIS	creating a note navigates to it and Back does not recreate it	431
REORDERED	opening a note pushes a /notes/:id URL	940
REORDERED	Back returns to the home screen	2017
REORDERED	Forward reopens the note	1204
REORDERED	opening a note pushes a /notes/:id URL	1130
REORDERED	deep-linking /notes/:id loads the note directly	175
REORDERED	in-app Back from a cold deep-link falls back to home	555
REORDERED	creating a note navigates to it and Back does not recreate it	698
REORDERED	Back returns to the home screen	1830
REORDERED	Forward reopens the note	976
REORDERED	deep-linking /notes/:id loads the note directly	75
REORDERED	in-app Back from a cold deep-link falls back to home	428
REORDERED	creating a note navigates to it and Back does not recreate it	480
REORDERED	opening a note pushes a /notes/:id URL	1550
REORDERED	Back returns to the home screen	2059
REORDERED	opening a note pushes a /notes/:id URL	1186
REORDERED	Forward reopens the note	1209
REORDERED	deep-linking /notes/:id loads the note directly	208
REORDERED	in-app Back from a cold deep-link falls back to home	609
REORDERED	Back returns to the home screen	1418
REORDERED	creating a note navigates to it and Back does not recreate it	820
REORDERED	Forward reopens the note	1005
REORDERED	deep-linking /notes/:id loads the note directly	94
REORDERED	in-app Back from a cold deep-link falls back to home	398
REORDERED	creating a note navigates to it and Back does not recreate it	555
ASIS	opening a note pushes a /notes/:id URL	924
REORDERED	opening a note pushes a /notes/:id URL	970
ASIS	Back returns to the home screen	1362
REORDERED	Back returns to the home screen	1410
ASIS	Forward reopens the note	1051
ASIS	deep-linking /notes/:id loads the note directly	181
ASIS	in-app Back from a cold deep-link falls back to home	526
ASIS	creating a note navigates to it and Back does not recreate it	368
REORDERED	Forward reopens the note	988
REORDERED	deep-linking /notes/:id loads the note directly	80
REORDERED	in-app Back from a cold deep-link falls back to home	423
REORDERED	creating a note navigates to it and Back does not recreate it	699
ASIS	opening a note pushes a /notes/:id URL	1122
ASIS	Back returns to the home screen	1253
ASIS	Forward reopens the note	874
ASIS	deep-linking /notes/:id loads the note directly	72
ASIS	in-app Back from a cold deep-link falls back to home	469
ASIS	creating a note navigates to it and Back does not recreate it	385
